cell_nm	f_trans	trans_align	cis_ab_comp	mean_insu	f_mitotic_band	f_near_band	far_mu	repli_score
1CDX1_277	0.6749381073581074	0.28752044416714245	0.4404680341677697	0.8350714336122675	0.251714478014498	0.37685400764083066	0.8103658801679221	0.1485923233557629
1CDX1_281	0.23027892073614928	0.6868531086177946	0.3037942495161138	0.6187008266659428	0.40068206143447105	0.21846271592101507	0.3352729989377162	0.16461094377422647
1CDX1_283	0.5184243096343519	0.6339943944272134	0.4398660272371592	0.8812547289780497	0.13212537682716205	0.70894000813654	0.6010617913225679	0.14130367963033885
1CDX1_284	0.32676997172690103	0.6609979260356519	0.32952390752745675	0.7711101179416591	0.2283021157239231	0.4902716769285502	0.4907004279897098	0.15390083694495083
1CDX1_285	0.40550815638679405	0.38044762578885993	0.21120900479579852	0.7255370047236396	0.2167513006440093	0.4304368536816008	0.7125828000902155	0.12125581092470661
1CDX1_286	0.9757515405201415	0.1613597435121501	0.5117578913973491	0.9652811045407717	0.22169254387859147	0.4126490931295941	0.8809530214037722	0.1690661591965572
1CDX1_287	0.2163823074064455	0.5509008716670799	0.30886395311288406	0.7069420393640742	0.22141880141139672	0.4544989344817534	0.5052508527944152	0.12702920429425024
1CDX1_293	0.49528366625659437	0.6138298344001539	0.48605299501175225	0.7095828627500984	0.054890741325131276	0.8304360357120166	0.6580176963314519	0.6179559686994835
1CDX1_294	0.3072611584155718	0.6127779639636102	0.4133017594759991	0.7803974084513978	0.20628840109409216	0.5176126833062951	0.5680858259446676	0.16520281683132687
1CDX1_295	0.3528647795384018	0.34028719301828714	0.3506766438491697	0.6383559304794035	0.25509777870411754	0.423294584683251	0.5097273790150242	0.15344817806444988
1CDX1_296	0.4320343435066948	0.6392520611774954	0.41715196445620145	0.8581653839663481	0.25913287233580884	0.46080654739277516	0.40081496489749824	0.1673844244718401
1CDX1_297	0.4475982001103056	0.6050803705162616	0.23919621983635564	0.6223351104565766	0.24036915343001078	0.5144881580959371	0.5310809360701565	0.174938641100165
1CDX1_303	0.23761626148625278	0.6447072612715791	0.41066348069814335	0.6975554756671827	0.1977769633996118	0.5592696150636669	0.4958400752250285	0.139121499346742
1CDX1_304	0.23260750668328586	0.49834043266007594	0.25939932213536726	0.6161710788564261	0.2879485998459761	0.39870935150269515	0.3821124764444054	0.17506775663860674
1CDX1_305	0.33689604535038087	0.6434857068615809	0.3004479150515242	0.6668528187664766	0.28014287801373405	0.3313986707542804	0.5455198189662129	0.15026041137673118
1CDX1_306	0.4051027957905289	0.5825229964300638	0.31691977473256233	0.8100961513807041	0.2221304839599146	0.4920690847469744	0.5559020160282192	0.14432720222182427
1CDX1_307	0.36075508362519204	0.15446383146676962	0.395282274077525	0.8134922002496647	0.16458962162550425	0.5498471850705386	0.9488515828796786	0.1304788391162739
1CDX1_312	0.26292905179502335	0.45926021638571685	0.47527424437723864	0.7239220779692956	0.188739552120244	0.5133634250493782	0.7306675758050664	0.15731155331796565
1CDX1_313	0.45271924806646446	0.27296271189509486	0.4558299963450505	0.8632954451915618	0.17466522683907623	0.5316472776503103	0.8153022519070081	0.15554789000563307
1CDX1_314	0.565493310591241	0.5015323205022361	0.32102352419899916	0.8201041161741045	0.1536481431262355	0.5522196909290065	0.738173196656529	0.12534325793442447
1CDX1_315	0.2611201155728037	0.5097752275017978	0.25486851599028876	0.6530905234389002	0.22927146765264825	0.3734720190433727	0.6222192278013142	0.14368830858992876
1CDX1_317	0.29835194082047833	0.7141925263809871	0.38785606217630486	0.7159814950510817	0.24391219686076196	0.4202322890532195	0.5161346032162578	0.32880883390173965
1CDX1_322	0.1924157208596071	0.7598285764880854	0.33786554619719517	0.6497699034606619	0.4832548693550913	0.24794396955788078	0.23790680753158822	0.12513207258220138
1CDX1_323	0.1939779516737263	0.3932546192566487	0.5021079415776116	0.7105446883907889	0.2324757061439329	0.4149650986381028	0.5820353595258119	0.148206292271845
1CDX1_324	0.4576248514259085	0.6759526355935652	0.5435870338363735	0.8619644805165505	0.20088853342372495	0.521874559260542	0.5684284891547923	0.12887469752934289
1CDX1_325	0.5646205152722169	0.21920566221589932	0.4657784719004795	0.7668519066031467	0.16037087348491016	0.5272726955876228	0.9308511572726255	0.2124256777956366
1CDX1_326	0.2887410419591404	0.22130196764981974	0.439940355509322	0.8111196965931962	0.14471206362024983	0.5853485934626586	0.8706107288576239	0.1664677931407339
1CDX1_327	0.23782080280065046	0.5595639480326345	0.22953714502845263	0.6597269807177608	0.2524426862461432	0.3220363546390461	0.5692950803764438	0.14298511642588396
1CDX1_333	0.4259202515889421	0.6134904813539245	0.27064710318867025	0.6678154527794831	0.1943218918624793	0.6020900932512872	0.5810802373506206	0.20264368417820844
1CDX1_334	0.2339160639329834	0.46051114169102175	0.31057058747482646	0.7182498660742789	0.34363546251981947	0.274193520248489	0.38880764020904257	0.1184723670112855
1CDX1_335	0.32082788175136745	0.5530144353993475	0.42731938186770857	0.6821853139843053	0.27292378475792045	0.31295625333385724	0.5917478244147484	0.11393880202060958
1CDX1_337	0.27662563428868203	0.6440368002218838	0.3144223148936091	0.670313257983391	0.3279266940980369	0.30909463920333413	0.3633806639995034	0.31907481848858676
1CDX1_342	0.22545298592033228	0.5457775130210293	0.41789692029322956	0.720743564931065	0.21379241428301857	0.4242938236731202	0.5683040711853101	0.16217901759132491
1CDX1_343	0.18025873155091826	0.732536829310494	0.18297494014143373	0.3743369166781527	0.455473013604476	0.0339412614893736	0.3300836840127087	0.18686096175638012
1CDX1_344	0.47662905941098377	0.5487073459206847	0.28830304520129674	0.6851906157889505	0.233124141343964	0.4604731463569638	0.5060293605555609	0.1278601597078346
1CDX1_345	0.3187801529917321	0.8152508582489352	0.38874882474039896	0.7246116993942759	0.29294215703329696	0.3457220144829436	0.40014393713737995	0.14222104224213883
1CDX1_346	0.2515145227387562	0.6153032616215331	0.3642976679771608	0.7232786389391859	0.23650147771691724	0.4113900206302794	0.5810756245390146	0.17686733008915567
1CDX1_347	0.37832052004693106	0.6402487974435428	0.38976327028736774	0.7628055210542557	0.20481715322118152	0.4737602817782025	0.5775806862439877	0.16250834733697195
1CDX1_352	0.3259346453422236	0.5581825209189442	0.3013796100948488	0.7014089634680751	0.21160673037093983	0.4864039452425297	0.668183340303781	0.14185002369310729
1CDX1_353	0.18963345892446587	0.7365669515775409	0.31337018085522833	0.6739038443755334	0.44628003958183093	0.21780367843906245	0.2580633412171438	0.11585722986462166
